@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
103,46,18,17,332,0.048711,0.71875,0.730159,0.71875,0.269841,0.724409,0.152542,4.711806,0.36
104,46,18,16,333,0.045845,0.71875,0.741935,0.71875,0.258065,0.730159,0.150121,4.787802,0.368731
105,46,18,15,334,0.04298,0.71875,0.754098,0.71875,0.245902,0.736,0.1477,4.866291,0.37
106,45,19,14,335,0.040115,0.703125,0.762712,0.703125,0.237288,0.731707,0.142857,4.921875,0.38
107,43,21,13,336,0.037249,0.671875,0.767857,0.671875,0.232143,0.716667,0.135593,4.955078,0.38125
108,42,22,13,336,0.037249,0.65625,0.763636,0.65625,0.236364,0.705882,0.133172,4.927841,0.388724
109,42,22,12,337,0.034384,0.65625,0.777778,0.65625,0.222222,0.711864,0.130751,5.019097,0.389602
110,41,23,12,337,0.034384,0.640625,0.773585,0.640625,0.226415,0.700855,0.128329,4.99204,0.39
111,40,24,12,337,0.034384,0.625,0.769231,0.625,0.230769,0.689655,0.125908,4.963942,0.396018
112,40,24,11,338,0.031519,0.625,0.784314,0.625,0.215686,0.695652,0.123487,5.061275,0.405
113,40,24,10,339,0.028653,0.625,0.8,0.625,0.2,0.701754,0.121065,5.1625,0.406073
114,39,25,10,339,0.028653,0.609375,0.795918,0.609375,0.204082,0.690265,0.118644,5.136161,0.41
115,36,28,9,340,0.025788,0.5625,0.8,0.5625,0.2,0.66055,0.108959,5.1625,0.4108
116,36,28,8,341,0.022923,0.5625,0.818182,0.5625,0.181818,0.666667,0.106538,5.27983,0.419456
117,36,28,7,342,0.020057,0.5625,0.837209,0.5625,0.162791,0.672897,0.104116,5.402616,0.430511
118,35,29,7,342,0.020057,0.546875,0.833333,0.546875,0.166667,0.660377,0.101695,5.377604,0.435383
119,35,29,6,343,0.017192,0.546875,0.853659,0.546875,0.146341,0.666667,0.099274,5.508765,0.436667
120,34,30,6,343,0.017192,0.53125,0.85,0.53125,0.15,0.653846,0.096852,5.485156,0.439286
121,33,31,6,343,0.017192,0.515625,0.846154,0.515625,0.153846,0.640777,0.094431,5.460337,0.439673
122,33,31,5,344,0.014327,0.515625,0.868421,0.515625,0.131579,0.647059,0.09201,5.60403,0.460229
123,33,31,4,345,0.011461,0.515625,0.891892,0.515625,0.108108,0.653465,0.089588,5.75549,0.46627
124,32,32,4,345,0.011461,0.5,0.888889,0.5,0.111111,0.64,0.087167,5.736111,0.475091
125,31,33,4,345,0.011461,0.484375,0.885714,0.484375,0.114286,0.626263,0.084746,5.715625,0.478647
126,30,34,4,345,0.011461,0.46875,0.882353,0.46875,0.117647,0.612245,0.082324,5.693934,0.48
127,28,36,4,345,0.011461,0.4375,0.875,0.4375,0.125,0.583333,0.077482,5.646484,0.485
128,28,36,3,346,0.008596,0.4375,0.903226,0.4375,0.096774,0.589474,0.075061,5.828629,0.499078
129,27,37,3,346,0.008596,0.421875,0.9,0.421875,0.1,0.574468,0.072639,5.807813,0.508829
130,27,37,2,347,0.005731,0.421875,0.931034,0.421875,0.068966,0.580645,0.070218,6.008082,0.51
131,26,38,2,347,0.005731,0.40625,0.928571,0.40625,0.071429,0.565217,0.067797,5.992188,0.511544
132,25,39,2,347,0.005731,0.390625,0.925926,0.390625,0.074074,0.549451,0.065375,5.975116,0.513647
133,24,40,2,347,0.005731,0.375,0.923077,0.375,0.076923,0.533333,0.062954,5.956731,0.52
134,23,41,2,347,0.005731,0.359375,0.92,0.359375,0.08,0.516854,0.060533,5.936875,0.525711
135,22,42,2,347,0.005731,0.34375,0.916667,0.34375,0.083333,0.5,0.058111,5.915365,0.55
136,21,43,2,347,0.005731,0.328125,0.913043,0.328125,0.086957,0.482759,0.05569,5.891984,0.551689
